width,quality,frames,failed,payload_kb_mean,e2e_mean_ms,e2e_p50_ms,e2e_p90_ms,e2e_p95_ms,modal_mean_ms,network_mean_ms,achievable_fps,meets_target
160,0.6,60,0,3.1,255.3,249.9,279.4,285.8,253.2,2.0,3.92,False
160,0.85,60,0,5.4,250.4,246.8,260.6,276.1,248.3,2.1,3.99,False
224,0.6,60,0,4.8,254.0,248.9,264.8,277.1,252.1,1.9,3.94,False
224,0.85,60,0,8.7,260.0,251.4,280.6,330.3,257.5,2.5,3.85,False
320,0.6,60,0,8.2,256.9,250.6,274.1,293.2,254.2,2.7,3.89,False
320,0.85,60,0,15.1,259.6,253.3,267.6,282.3,255.9,3.7,3.85,False
480,0.6,60,0,15.4,270.9,254.8,290.4,363.6,267.8,3.1,3.69,False
480,0.85,60,0,28.3,260.3,255.2,278.4,290.4,255.7,4.5,3.84,False
640,0.6,60,0,24.0,261.1,252.6,276.1,300.1,257.2,3.9,3.83,False
640,0.85,60,0,43.2,264.6,258.6,293.9,319.4,259.0,5.6,3.78,False
